Site,Depth (m),Day,Chlorophyll-a Fluorescence (RFU),FDOM Fluorescence (RFU) ,Turbidity (NTU),Actual Conductivity  (uS/cm),Specific Conductivity(uS/cm),Salinity(PSU),Resistivity(ohm*cm),Density(g/cm^3),Total Dissolved Solids (ppt),BGA-PC Fluorescence(RFU),Temperature(C),Barometric Pressure(mm Hg),Pressure (psi),Depth(m),Nitrate(NO3-r -N),Nitrate(mV),External Voltage(V),Latitude,Longitude,BGA-PC (ug/L),Chl_a (ug/L),BGA-PC/ Chl-a,bloomstatus Chl-a,bloomstatus BGA-PC,bloomstatus BGA-PC/Chl-a
LP6,0.5,13-Aug,0.000045,0.004,1.9522,0.055,0.05,0.00E+00,18200000,0.9954,3.22E-05,1.0309,30.71,762.39,0.4048,0.4908,50000,-214.3105,15.3714,30.06867876,-90.38251603,54.21684424,0.02637008,2055.998474,0,0,1
LP6,0.5,13-Aug,0,0.001,1.8107,0.055,0.05,0.00E+00,18200000,0.9954,3.22E-05,0.9674,30.7,762.75,0.557,0.4909,50000,-209.3855,15.372,30.06844832,-90.38182467,51.18504737,0.000159588,320732.4321,0,0,1
LP6,0.5,13-Aug,0.000005,0.001,1.7365,0.055,0.05,0.00E+00,18200000,0.9954,3.22E-05,0.9983,30.75,762.43,0.3918,0.4972,50000,-213.0447,15.3716,30.06851625,-90.38213206,52.6685244,0.00282007,18676.31811,0,0,1
LP6,0.5,13-Aug,0,0.002,1.8514,0.055,0.049,0.00E+00,18200000,0.9954,3.21E-05,0.922,30.83,762.46,0.5147,0.5035,50000,-210.8207,15.3728,30.06856905,-90.38233503,48.95904615,0,0,0,0,0
LP6,0.5,13-Aug,0.000002,0.001,1.7285,0.055,0.05,0.00E+00,18200000,0.9954,3.22E-05,1.0023,30.75,762.43,0.3994,0.5042,50000,-213.0255,15.3719,30.06851717,-90.38213138,52.85989224,0.001066305,49572.95731,0,0,1
LP6,0.5,13-Aug,0.001927,0.003,1.9571,0.055,0.05,0.00E+00,18200000,0.9954,3.22E-05,0.9305,30.74,762.55,0.5564,0.5045,50000,-210.3098,15.3629,30.06865345,-90.38234193,49.37951963,1.133275,43.57240708,1,0,0
LP6,0.5,13-Aug,0.000388,0.003,1.8357,0.055,0.05,0.00E+00,18200000,0.9954,3.22E-05,0.9005,30.67,762.41,0.4562,0.5105,50000,-214.9149,15.372,30.06878018,-90.38263917,47.89234205,0.228457365,209.6336095,0,0,0
LP6,0.5,13-Aug,0.000415,0.003,1.8392,0.055,0.05,0.00E+00,18200000,0.9954,3.22E-05,0.8949,30.67,762.41,0.4442,0.5107,50000,-214.8971,15.372,30.06877717,-90.38263725,47.61047636,0.244008518,195.1180916,0,0,0
LP6,0.5,13-Aug,0.000441,0.003,1.8426,0.055,0.05,0.00E+00,18200000,0.9954,3.22E-05,0.8893,30.67,762.41,0.4321,0.5109,50000,-214.8793,15.372,30.06877833,-90.38263292,47.32780879,0.259559671,182.338838,0,0,0
LP6,0.5,13-Aug,0,0.001,1.7205,0.055,0.05,0.00E+00,18200000,0.9954,3.22E-05,1.0063,30.75,762.43,0.4069,0.5112,50000,-213.0063,15.3721,30.06851756,-90.38213017,53.05091623,0,0,0,0,0
LP6,0.5,13-Aug,0.000005,0.001,1.7929,0.055,0.05,0.00E+00,18200000,0.9954,3.22E-05,0.9927,30.71,762.41,0.4462,0.5168,50000,-214.5133,15.3641,30.06867712,-90.38251527,52.40255026,0.003180915,16474.04922,0,0,1
LP6,0.5,13-Aug,0.000004,0,1.7877,0.055,0.05,0.00E+00,18200000,0.9954,3.22E-05,0.9921,30.71,762.41,0.4499,0.5192,50000,-214.5168,15.3638,30.06867499,-90.38251343,52.37289591,0.002302292,22748.15528,0,0,1
LP6,0.5,13-Aug,0.000002,0,1.7826,0.055,0.05,0.00E+00,18200000,0.9954,3.22E-05,0.9915,30.71,762.42,0.4536,0.5216,50000,-214.5203,15.3635,30.06867453,-90.38251162,52.34323025,0.001423669,36766.43254,0,0,1
LP6,1,13-Aug,0.001918,0.003,1.8816,0.055,0.049,0.00E+00,18200000,0.9954,3.21E-05,1.0425,30.91,762.45,1.0653,0.9503,50000,-210.5978,15.3642,30.06851099,-90.3820138,54.75916354,1.128007647,48.54502865,1,0,0
LP6,1,13-Aug,0.003355,0.003,1.8626,0.055,0.05,0.00E+00,18200000,0.9954,3.22E-05,1.0262,30.73,762.43,1.0632,0.9536,50000,-213.7122,15.3556,30.06851341,-90.3821365,53.9944574,1.973733529,27.35650816,1,0,0
LP6,1,13-Aug,0.001912,0,1.8473,0.055,0.05,0.00E+00,18200000,0.9954,3.22E-05,0.9813,30.72,762.42,1.0694,0.9583,50000,-214.6469,15.373,30.06857615,-90.38221825,51.85477649,1.124712647,46.104911,1,0,0
LP6,1,13-Aug,0.001798,0,1.8484,0.055,0.05,0.00E+00,18200000,0.9954,3.22E-05,0.9814,30.72,762.42,1.0702,0.9587,50000,-214.5706,15.3733,30.06857543,-90.38222127,51.86256785,1.057865824,49.02565777,1,0,0
LP6,1,13-Aug,0.001685,0,1.8496,0.055,0.05,0.00E+00,18200000,0.9954,3.22E-05,0.9816,30.72,762.42,1.071,0.9591,50000,-214.4944,15.3737,30.06857625,-90.38221675,51.8703567,0.991019059,52.34042295,0,0,0
LP6,1,13-Aug,0.000234,0.002,1.7861,0.055,0.049,0.00E+00,18200000,0.9954,3.21E-05,0.9012,30.81,762.59,1.1774,0.9686,50000,-210.2056,15.3726,30.06863602,-90.38244572,47.92331059,0.1378662,347.6073946,0,0,0
LP6,1,13-Aug,0.000261,0.002,1.7884,0.055,0.049,0.00E+00,18200000,0.9954,3.21E-05,0.9072,30.81,762.59,1.19,0.9778,50000,-210.2432,15.3729,30.06863096,-90.3824394,48.22520641,0.153635459,313.8937243,0,0,0
LP6,1,13-Aug,0.002026,0.003,1.8828,0.055,0.049,0.00E+00,18200000,0.9954,3.21E-05,1.0456,30.91,762.45,1.105,0.9786,50000,-210.5656,15.3636,30.06850637,-90.38200155,54.90454153,1.191610824,46.07590031,1,0,0
LP6,1,13-Aug,0.001054,0.004,1.8408,0.055,0.049,0.00E+00,18200000,0.9954,3.22E-05,0.9577,30.76,762.57,1.1832,0.9831,50000,-210.7088,15.3713,30.06856664,-90.38236042,50.71261607,0.619890647,81.80897117,0,0,0
LP6,1,13-Aug,0.000083,0.002,1.8396,0.055,0.05,0.00E+00,18200000,0.9954,3.22E-05,0.9701,30.72,762.43,1.1093,0.9843,50000,-213.1745,15.3867,30.06857768,-90.38222391,51.31303209,0.048985179,1047.52158,0,0,1
LP6,1,13-Aug,0.000467,0.003,1.7753,0.055,0.049,0.00E+00,18200000,0.9954,3.21E-05,1.0284,30.83,762.53,1.1444,0.9875,50000,-210.0234,15.3789,30.06864721,-90.3823444,54.10130065,0.274580618,197.0324819,0,0,0
LP6,1,13-Aug,0,0.002,1.8338,0.055,0.05,0.00E+00,18200000,0.9954,3.22E-05,0.9685,30.72,762.43,1.1148,0.9882,50000,-213.1411,15.3883,30.06857862,-90.38222192,51.23820998,0,0,0,0,0
LP6,1,13-Aug,0.001843,0.003,1.8679,0.055,0.049,0.00E+00,18200000,0.9954,3.21E-05,1.026,30.83,762.54,1.1502,0.9902,50000,-209.911,15.3726,30.06857417,-90.38215417,53.98817387,1.084106118,49.79971331,1,0,0
LP6,1,13-Aug,0.001562,0.003,1.7453,0.055,0.049,0.00E+00,18200000,0.9954,3.22E-05,0.9772,30.77,762.43,1.1196,0.9917,50000,-212.6169,15.3723,30.06851681,-90.38212317,51.6597704,0.918875294,56.22065446,0,0,0
LP6,1,13-Aug,0.001429,0.005,1.7778,0.055,0.049,0.00E+00,18200000,0.9954,3.21E-05,0.9964,30.84,762.55,1.1536,0.9935,50000,-211.5078,15.3703,30.06859675,-90.38228156,52.58104991,0.840609471,62.55110336,0,0,0
LP6,1,13-Aug,0.001668,0.003,1.7375,0.055,0.049,0.00E+00,18200000,0.9954,3.22E-05,0.978,30.77,762.44,1.1253,0.9956,50000,-212.557,15.3721,30.06851767,-90.38212396,51.69575835,0.981006706,52.69664115,0,0,0
LP6,1,13-Aug,0.002761,0.005,1.7874,0.055,0.049,0.00E+00,18200000,0.9954,3.21E-05,1.0246,30.83,762.55,1.161,0.9973,50000,-210.2507,15.372,30.06856663,-90.38191695,53.91852057,1.62415,33.19799315,1,0,0
LP6,1,13-Aug,0.001793,0.003,1.8642,0.055,0.049,0.00E+00,18200000,0.9954,3.21E-05,1.0258,30.83,762.54,1.1612,0.9993,50000,-209.9344,15.3726,30.06857781,-90.38218929,53.97857802,1.054680824,51.18001275,1,0,0
LP6,1,13-Aug,0.001773,0.003,1.7297,0.055,0.049,0.00E+00,18200000,0.9954,3.22E-05,0.9787,30.77,762.44,1.1309,0.9996,50000,-212.4971,15.3719,30.06851782,-90.38212527,51.73173574,1.043138118,49.5924124,1,0,0
LP6,1,13-Aug,0,0.005,1.8641,0.055,0.05,0.00E+00,18200000,0.9954,3.22E-05,1.0228,30.73,762.44,1.1401,1.0076,50000,-211.8711,15.3635,30.06851196,-90.38213588,53.83566034,0,0,0,0,0
